Longitud,Latitud,Valor
-69.69940,-17.84280,0.40000
-69.62830,-17.98330,0.80000
-69.62560,-17.99190,0.50000
-69.25500,-17.99420,1.10000
-69.63310,-18.00360,1.90000
-69.23080,-18.01560,0.20000
-69.19610,-18.07690,0.40000
-69.24580,-18.19360,0.40000
-69.33110,-18.22940,0.70000
-69.33190,-18.23250,0.10000
-69.90030,-18.36670,2.60000
-70.30000,-18.40000,1.30000
-68.58330,-18.40080,0.60000
-70.26830,-18.40360,1.60000
-69.14940,-18.49310,0.40000
-69.56560,-18.51330,0.70000
-69.04670,-18.58330,2.50000
-69.96670,-18.58330,1.10000
-69.81140,-18.58440,1.00000
-69.88670,-18.58560,0.60000
-69.66690,-18.82690,0.10000
-69.61970,-18.94310,0.80000
-69.98420,-19.04440,0.50000
-68.67970,-19.27110,0.50000
-69.38860,-19.29580,0.30000
-69.14330,-19.78310,0.20000
-69.28690,-19.82970,0.30000
-69.34420,-19.85310,0.20000
-68.58580,-19.85860,0.20000
-68.92970,-19.86420,0.10000
-68.95920,-19.87640,0.20000
-68.83330,-20.03330,0.00000
-68.83110,-20.03440,0.10000
-68.84080,-20.11190,0.20000
-68.88330,-20.93330,0.00000
-70.05360,-21.42470,0.30000
-69.53860,-21.64330,0.20000
-69.53330,-21.65000,0.80000
-68.66220,-21.65580,0.60000
-69.51670,-21.71250,0.50000
-68.53310,-21.93690,0.10000
-68.51220,-21.94250,1.00000
-68.36610,-21.96640,1.10000
-68.60830,-21.97190,0.60000
-68.60750,-21.97560,0.80000
-68.60670,-21.98810,1.70000
-68.02690,-22.01030,0.20000
-68.62080,-22.02780,0.70000
-68.14390,-22.27310,0.40000
-68.24280,-22.27920,0.50000
-68.34470,-22.28940,0.50000
-69.56500,-22.34310,0.50000
-68.64190,-22.36530,0.50000
-69.53000,-22.39220,1.00000
-68.88860,-22.44190,1.90000
-68.87750,-22.44690,1.60000
-68.97720,-22.50280,1.00000
-68.98890,-22.50610,0.70000
-68.19830,-22.82250,0.80000
-68.17920,-22.86970,0.20000
-68.01330,-23.27250,0.10000
-67.84690,-23.61190,0.20000
-68.10810,-23.78970,0.00000
-68.09530,-23.79670,0.00000
-69.06000,-26.48080,0.60000
-68.93060,-27.08000,0.30000
-69.00030,-27.13330,0.00000
-69.02500,-27.20250,0.00000
-69.00280,-27.26220,0.10000
-68.99750,-27.26420,0.10000
-70.83810,-27.31940,0.40000
-70.33920,-27.36360,1.50000
-69.04530,-27.45970,0.30000
-70.26440,-27.51470,0.60000
-70.26470,-27.51610,0.60000
-70.26890,-27.52440,1.10000
-70.12690,-27.80440,2.20000
-70.06670,-27.86670,1.70000
-69.99780,-27.97470,1.10000
-69.97470,-28.00030,2.00000
-69.95670,-28.04310,0.70000
-69.94080,-28.08580,1.40000
-69.99390,-28.14780,0.50000
-71.17830,-28.46470,4.30000
-71.00640,-28.51190,3.20000
-70.64640,-28.67190,5.30000
-70.55000,-28.69970,5.10000
-70.50670,-28.73060,6.70000
-70.48670,-28.75000,2.30000
-70.48280,-28.75030,3.30000
-70.45810,-28.93190,2.40000
-70.45690,-28.94000,2.30000
-70.24810,-28.94140,3.30000
-70.10110,-28.94560,1.80000
-70.21670,-28.95000,2.00000
-70.41390,-29.10940,2.80000
-70.38610,-29.84310,5.50000
-71.25140,-29.89310,4.50000
-70.53280,-29.94580,6.00000
-70.09280,-29.97110,0.70000
-70.55250,-29.97810,3.80000
-71.28610,-29.97890,0.30000
-70.89810,-29.98110,8.30000
-70.58670,-29.99530,9.50000
-70.49280,-30.08970,3.30000
-70.43440,-30.12220,2.80000
-70.03610,-30.20280,2.10000
-70.49280,-30.22060,1.20000
-70.76670,-30.33330,2.50000
-70.60000,-30.38330,2.10000
-71.00220,-30.43860,2.70000
-70.53610,-30.46220,2.50000
-71.06920,-30.47720,2.00000
-71.09310,-30.49610,1.40000
-71.17140,-30.59030,5.40000
-71.53330,-30.66670,8.30000
-71.52670,-30.67220,0.30000
-71.05000,-30.68330,7.00000
-70.90000,-30.70000,1.90000
-71.05000,-30.70000,1.30000
-70.90000,-30.70220,8.30000
-70.92440,-30.70470,9.10000
-70.87280,-30.70810,1.50000
