Longitud,Latitud,Valor
-69.6994,-17.8428,0.4
-69.6283,-17.9833,0.8
-69.6256,-17.9919,0.5
-69.255,-17.9942,1.1
-69.6331,-18.0036,1.9
-69.2308,-18.0156,0.2
-69.1961,-18.0769,0.4
-69.2458,-18.1936,0.4
-69.3311,-18.2294,0.7
-69.3319,-18.2325,0.1
-69.9003,-18.3667,2.6
-70.3,-18.4,1.3
-68.5833,-18.4008,0.6
-70.2683,-18.4036,1.6
-69.1494,-18.4931,0.4
-69.5656,-18.5133,0.7
-69.0467,-18.5833,2.5
-69.9667,-18.5833,1.1
-69.8114,-18.5844,1.0
-69.8867,-18.5856,0.6
-69.6669,-18.8269,0.1
-69.6197,-18.9431,0.8
-69.9842,-19.0444,0.5
-68.6797,-19.2711,0.5
-69.3886,-19.2958,0.3
-69.1433,-19.7831,0.2
-69.2869,-19.8297,0.3
-69.3442,-19.8531,0.2
-68.5858,-19.8586,0.2
-68.9297,-19.8642,0.1
-68.9592,-19.8764,0.2
-68.8333,-20.0333,0.0
-68.8311,-20.0344,0.1
-68.8408,-20.1119,0.2
-68.8833,-20.9333,0.0
-70.0536,-21.4247,0.3
-69.5386,-21.6433,0.2
-69.5333,-21.65,0.8
-68.6622,-21.6558,0.6
-69.5167,-21.7125,0.5
-68.5331,-21.9369,0.1
-68.5122,-21.9425,1.0
-68.3661,-21.9664,1.1
-68.6083,-21.9719,0.6
-68.6075,-21.9756,0.8
-68.6067,-21.9881,1.7
-68.0269,-22.0103,0.2
-68.6208,-22.0278,0.7
-68.1439,-22.2731,0.4
-68.2428,-22.2792,0.5
-68.3447,-22.2894,0.5
-69.565,-22.3431,0.5
-68.6419,-22.3653,0.5
-69.53,-22.3922,1.0
-68.8886,-22.4419,1.9
-68.8775,-22.4469,1.6
-68.9772,-22.5028,1.0
-68.9889,-22.5061,0.7
-68.1983,-22.8225,0.8
-68.1792,-22.8697,0.2
-68.0133,-23.2725,0.1
-67.8469,-23.6119,0.2
-68.1081,-23.7897,0.0
-68.0953,-23.7967,0.0
-69.06,-26.4808,0.6
-68.9306,-27.08,0.3
-69.0003,-27.1333,0.0
-69.025,-27.2025,0.0
-69.0028,-27.2622,0.1
